ID,SITE_NAME,iGRP,FuelRegion,TotalCap,LAT,LON,ORD,SOURCE_TYPE,STATE,OGSM_Region,CensusRegion
1,UP_1_1,-1,1,0,41.261,-72.055,1,GEN,CT,1,1
2,UP_1_2,-1,1,0,41.428,-72.102,2,GEN,CT,1,1
3,UP_1_3,-1,1,0,41.073,-73.41,3,GEN,CT,1,1
4,UP_1_4,-1,1,0,41.555,-72.578,4,GEN,CT,1,1
5,UP_1_5,-1,1,0,41.171,-73.184,5,GEN,CT,1,1
6,UP_1_6,-1,1,0,41.923,-72.625,6,GEN,CT,1,1
7,UP_1_7,-1,1,0,41.764,-72.693,7,GEN,CT,1,1
8,UP_1_8,-1,1,0,41.169,-73.184,8,GEN,CT,1,1
9,UP_1_9,-1,1,0,41.553,-72.598,9,GEN,CT,1,1
10,UP_1_10,-1,1,0,42.281,-72.605,10,GEN,MA,1,1
11,UP_1_11,-1,1,0,41.738,-71.145,11,GEN,MA,1,1
12,UP_1_12,-1,1,0,42.526,-70.877,12,GEN,MA,1,1
13,UP_1_13,-1,1,0,42.095,-72.595,13,GEN,MA,1,1
14,UP_1_14,-1,1,0,41.865,-71.106,14,GEN,MA,1,1
15,UP_1_15,-1,1,0,42.2,-72.61,15,GEN,MA,1,1
16,UP_1_16,-1,1,0,42.363,-71.079,16,GEN,MA,1,1
17,UP_1_17,-1,1,0,42.235,-70.967,17,GEN,MA,1,1
18,UP_1_18,-1,1,0,42.198,-72.511,18,GEN,MA,1,1
19,UP_1_19,-1,1,0,42.093,-71.483,19,GEN,MA,1,1
20,UP_1_20,-1,1,0,42.158,-72.523,20,GEN,MA,1,1
21,UP_1_21,-1,1,0,42.64,-71.323,21,GEN,MA,1,1
22,UP_1_22,-1,1,0,42.456,-73.218,22,GEN,MA,1,1
23,UP_1_23,-1,1,0,41.673,-70.999,23,GEN,MA,1,1
24,UP_1_24,-1,1,0,42.633,-71.317,24,GEN,MA,1,1
25,UP_1_25,-1,1,0,42.129,-71.511,25,GEN,MA,1,1
26,UP_1_26,-1,1,0,41.831,-71.124,26,GEN,MA,1,1
27,UP_1_27,-1,1,0,42.112,-72.015,27,GEN,MA,1,1
28,UP_1_28,-1,1,0,44.551,-70.541,28,GEN,ME,1,1
29,UP_1_29,-1,1,0,43.751,-70.157,29,GEN,ME,1,1
30,UP_1_30,-1,1,0,46.848,-68.003,30,GEN,ME,1,1
31,UP_1_31,-1,1,0,44.824,-68.709,31,GEN,ME,1,1
32,UP_1_32,-1,1,0,44.53,-70.522,32,GEN,ME,1,1
33,UP_1_33,-1,1,0,43.658,-70.375,33,GEN,ME,1,1
34,UP_1_34,-1,1,0,43.141,-71.469,34,GEN,NH,1,1
35,UP_1_35,-1,1,0,43.098,-70.784,35,GEN,NH,1,1
36,UP_1_36,-1,1,0,43.105,-70.806,36,GEN,NH,1,1
37,UP_1_37,-1,1,0,41.817,-71.404,37,GEN,RI,1,1
38,UP_1_38,-1,1,0,42.01,-71.669,38,GEN,RI,1,1
39,UP_1_39,-1,1,0,41.867,-71.408,39,GEN,RI,1,1
40,UP_1_40,-1,1,0,42.01,-71.67,40,GEN,RI,1,1
41,UP_1_41,-1,1,0,41.642,-71.171,41,GEN,RI,1,1
42,UP_1_42,-1,1,0,41.802,-71.518,42,GEN,RI,1,1
43,UP_2_1,-1,2,0,39.291,-74.636,1,GEN,NJ,1,2
44,UP_2_2,-1,2,0,39.683,-75.508,2,GEN,NJ,1,2
45,UP_2_3,-1,2,0,40.748,-74.072,3,GEN,NJ,1,2
46,UP_2_4,-1,2,0,40.556,-74.247,4,GEN,NJ,1,2
47,UP_2_5,-1,2,0,39.489,-75.035,5,GEN,NJ,1,2
48,UP_2_6,-1,2,0,40.566,-75.164,6,GEN,NJ,1,2
49,UP_2_7,-1,2,0,40.838,-74.024,7,GEN,NJ,1,2
50,UP_2_8,-1,2,0,40.622,-74.207,8,GEN,NJ,1,2
51,UP_2_9,-1,2,0,39.767,-75.424,9,GEN,NJ,1,2
52,UP_2_10,-1,2,0,40.439,-74.344,10,GEN,NJ,1,2
53,UP_2_11,-1,2,0,39.918,-75.119,11,GEN,NJ,1,2
54,UP_2_12,-1,2,0,40.678,-74.274,12,GEN,NJ,1,2
55,UP_2_13,-1,2,0,40.632,-74.216,13,GEN,NJ,1,2
56,UP_2_14,-1,2,0,40.72,-74.13,14,GEN,NJ,1,2
57,UP_2_15,-1,2,0,40.655,-74.112,15,GEN,NJ,1,2
58,UP_2_16,-1,2,0,39.874,-75.159,16,GEN,NJ,1,2
59,UP_2_17,-1,2,0,40.462,-75.673,17,GEN,NJ,1,2
60,UP_2_18,-1,2,0,40.905,-74.13,18,GEN,NJ,1,2
61,UP_2_19,-1,2,0,40.061,-74.168,19,GEN,NJ,1,2
62,UP_2_20,-1,2,0,40.449,-74.349,20,GEN,NJ,1,2
63,UP_2_21,-1,2,0,42.187,-75.795,21,GEN,NY,1,2
64,UP_2_22,-1,2,0,42.112,-75.974,22,GEN,NY,1,2
65,UP_2_23,-1,2,0,42.668,-76.947,23,GEN,NY,1,2
66,UP_2_24,-1,2,0,42.679,-76.948,24,GEN,NY,1,2
67,UP_2_25,-1,2,0,42.603,-76.633,25,GEN,NY,1,2
68,UP_2_26,-1,2,0,42.491,-79.346,26,GEN,NY,1,2
69,UP_2_27,-1,2,0,42.092,-79.242,27,GEN,NY,1,2
70,UP_2_28,-1,2,0,44.036,-75.772,28,GEN,NY,1,2
71,UP_2_29,-1,2,0,43.065,-76.209,29,GEN,NY,1,2
72,UP_2_30,-1,2,0,41.571,-73.975,30,GEN,NY,1,2
73,UP_2_31,-1,2,0,40.728,-73.974,31,GEN,NY,1,2
74,UP_2_32,-1,2,0,40.617,-73.648,32,GEN,NY,1,2
75,UP_2_33,-1,2,0,40.611,-73.761,33,GEN,NY,1,2
76,UP_2_34,-1,2,0,40.827,-73.647,34,GEN,NY,1,2
77,UP_2_35,-1,2,0,40.949,-73.078,35,GEN,NY,1,2
78,UP_2_36,-1,2,0,41.204,-73.969,36,GEN,NY,1,2
79,UP_2_37,-1,2,0,40.788,-73.913,37,GEN,NY,1,2
80,UP_2_38,-1,2,0,40.759,-73.946,38,GEN,NY,1,2
81,UP_2_39,-1,2,0,42.594,-73.764,39,GEN,NY,1,2
82,UP_2_40,-1,2,0,40.816,-73.064,40,GEN,NY,1,2
83,UP_2_41,-1,2,0,42.503,-78.068,41,GEN,NY,1,2
84,UP_2_42,-1,2,0,42.538,-73.743,42,GEN,NY,1,2
85,UP_2_43,-1,2,0,42.29,-78.662,43,GEN,NY,1,2
86,UP_2_44,-1,2,0,43.886,-75.434,44,GEN,NY,1,2
87,UP_2_45,-1,2,0,43.984,-75.623,45,GEN,NY,1,2
88,UP_2_46,-1,2,0,43.066,-76.214,46,GEN,NY,1,2
89,UP_2_47,-1,2,0,42.574,-73.859,47,GEN,NY,1,2
90,UP_2_48,-1,2,0,44.726,-75.442,48,GEN,NY,1,2
91,UP_2_49,-1,2,0,40.747,-73.499,49,GEN,NY,1,2
92,UP_2_50,-1,2,0,42.654,-78.077,50,GEN,NY,1,2
93,UP_2_51,-1,2,0,43.472,-76.493,51,GEN,NY,1,2
94,UP_2_52,-1,2,0,42.967,-78.918,52,GEN,NY,1,2
95,UP_2_53,-1,2,0,43.25,-73.813,53,GEN,NY,1,2
96,UP_2_54,-1,2,0,43.08,-75.601,54,GEN,NY,1,2
97,UP_2_55,-1,2,0,43.03,-76.04,55,GEN,NY,1,2
98,UP_2_56,-1,2,0,40.726,-73.589,56,GEN,NY,1,2
99,UP_2_57,-1,2,0,42.63,-73.75,57,GEN,NY,1,2
100,UP_2_58,-1,2,0,43.162,-78.752,58,GEN,NY,1,2
101,UP_2_59,-1,2,0,42.088,-78.45,59,GEN,NY,1,2
102,UP_2_60,-1,2,0,40.642,-73.778,60,GEN,NY,1,2
103,UP_2_61,-1,2,0,43.048,-78.854,61,GEN,NY,1,2
104,UP_2_62,-1,2,0,43.495,-76.451,62,GEN,NY,1,2
105,UP_2_63,-1,2,0,44.713,-73.456,63,GEN,NY,1,2
106,UP_2_64,-1,2,0,44.95,-74.893,64,GEN,NY,1,2
107,UP_2_65,-1,2,0,42.983,-78.159,65,GEN,NY,1,2
108,UP_2_66,-1,2,0,40.699,-73.976,66,GEN,NY,1,2
109,UP_2_67,-1,2,0,40.783,-73.896,67,GEN,NY,1,2
110,UP_2_68,-1,2,0,42.273,-73.849,68,GEN,NY,1,2
111,UP_2_69,-1,2,0,40.736,-73.389,69,GEN,NY,1,2
112,UP_2_70,-1,2,0,40.789,-73.907,70,GEN,NY,1,2
113,UP_2_71,-1,2,0,40.814,-72.94,71,GEN,NY,1,2
114,UP_2_72,-1,2,0,42.625,-73.753,72,GEN,NY,1,2
115,UP_2_73,-1,2,0,40.783,-73.9,73,GEN,NY,1,2
116,UP_3_1,-1,3,0,40.253,-79.918,1,GEN,PA,1,2
117,UP_3_2,-1,3,0,40.91,-75.079,2,GEN,PA,1,2
118,UP_3_3,-1,3,0,40.306,-75.908,3,GEN,PA,1,2
119,UP_3_4,-1,3,0,40.384,-79.061,4,GEN,PA,1,2
120,UP_3_5,-1,3,0,41.067,-78.367,5,GEN,PA,1,2
121,UP_3_6,-1,3,0,40.66,-79.341,6,GEN,PA,1,2
122,UP_3_7,-1,3,0,40.938,-80.368,7,GEN,PA,1,2
123,UP_3_8,-1,3,0,41.071,-76.667,8,GEN,PA,1,2
124,UP_3_9,-1,3,0,40.836,-76.825,9,GEN,PA,1,2
125,UP_3_10,-1,3,0,40.153,-75.529,10,GEN,PA,1,2
126,UP_3_11,-1,3,0,41.201,-76.07,11,GEN,PA,1,2
127,UP_3_12,-1,3,0,40.79,-76.198,12,GEN,PA,1,2
128,UP_3_13,-1,3,0,40.55,-78.8,13,GEN,PA,1,2
129,UP_3_14,-1,3,0,40.809,-76.454,14,GEN,PA,1,2
130,UP_3_15,-1,3,0,40.455,-78.747,15,GEN,PA,1,2
131,UP_3_16,-1,3,0,40.474,-78.701,16,GEN,PA,1,2
132,UP_3_17,-1,3,0,40.656,-80.354,17,GEN,PA,1,2
133,UP_3_18,-1,3,0,40.873,-75.993,18,GEN,PA,1,2
134,UP_3_19,-1,3,0,40.619,-76.45,19,GEN,PA,1,2
135,UP_3_20,-1,3,0,40.856,-75.878,20,GEN,PA,1,2
136,UP_3_21,-1,3,0,40.782,-76.178,21,GEN,PA,1,2
137,UP_3_22,-1,3,0,40.692,-75.479,22,GEN,PA,1,2
138,UP_3_23,-1,3,0,41.269,-79.813,23,GEN,PA,1,2
139,UP_3_24,-1,3,0,41.176,-79.441,24,GEN,PA,1,2
140,UP_3_25,-1,3,0,40.822,-76.173,25,GEN,PA,1,2
141,UP_3_26,-1,3,0,39.942,-75.188,26,GEN,PA,1,2
142,UP_3_27,-1,3,0,40.221,-79.968,27,GEN,PA,1,2
143,UP_3_28,-1,3,0,40.464,-80.044,28,GEN,PA,1,2
144,UP_3_29,-1,3,0,42.227,-79.858,29,GEN,PA,1,2
145,UP_3_30,-1,3,0,39.981,-76.687,30,GEN,PA,1,2
146,UP_3_31,-1,3,0,40.422,-75.936,31,GEN,PA,1,2
147,UP_3_32,-1,3,0,39.861,-75.336,32,GEN,PA,1,2
148,UP_3_33,-1,3,0,40.148,-74.741,33,GEN,PA,1,2
149,UP_3_34,-1,3,0,39.859,-79.918,34,GEN,PA,1,2
150,UP_3_35,-1,3,0,39.738,-76.307,35,GEN,PA,1,2
151,UP_3_36,-1,3,0,40.801,-75.105,36,GEN,PA,1,2
152,UP_3_37,-1,3,0,40.618,-75.314,37,GEN,PA,1,2
153,UP_3_38,-1,3,0,40.544,-79.768,38,GEN,PA,1,2
154,UP_3_39,-1,3,0,39.806,-75.421,39,GEN,PA,1,2
155,UP_3_40,-1,3,0,39.873,-77.167,40,GEN,PA,1,2
465,UP_3_41,-1,3,0,40.929,-79.466,41,GEN,PA,1,2
156,UP_4_1,-1,4,0,38.992,-84.298,1,GEN,OH,1,3
157,UP_4_2,-1,4,0,39.113,-84.804,2,GEN,OH,1,3
158,UP_4_3,-1,4,0,41.503,-82.053,3,GEN,OH,1,3
159,UP_4_4,-1,4,0,41.671,-81.443,4,GEN,OH,1,3
160,UP_4_5,-1,4,0,40.184,-81.881,5,GEN,OH,1,3
161,UP_4_6,-1,4,0,39.793,-83.01,6,GEN,OH,1,3
162,UP_4_7,-1,4,0,39.609,-84.292,7,GEN,OH,1,3
163,UP_4_8,-1,4,0,38.636,-83.694,8,GEN,OH,1,3
164,UP_4_9,-1,4,0,41.167,-80.765,9,GEN,OH,1,3
165,UP_4_10,-1,4,0,39.909,-80.761,10,GEN,OH,1,3
166,UP_4_11,-1,4,0,39.964,-80.755,11,GEN,OH,1,3
167,UP_4_12,-1,4,0,40.532,-80.632,12,GEN,OH,1,3
168,UP_4_13,-1,4,0,39.591,-81.68,13,GEN,OH,1,3
169,UP_4_14,-1,4,0,38.914,-82.129,14,GEN,OH,1,3
170,UP_4_15,-1,4,0,40.521,-81.472,15,GEN,OH,1,3
171,UP_4_16,-1,4,0,40.851,-81.765,16,GEN,OH,1,3
172,UP_4_17,-1,4,0,41.726,-81.254,17,GEN,OH,1,3
173,UP_4_18,-1,4,0,40.88,-82.657,18,GEN,OH,1,3
174,UP_4_19,-1,4,0,38.69,-83.48,19,GEN,OH,1,3
175,UP_4_20,-1,4,0,39.366,-81.521,20,GEN,OH,1,3
176,UP_4_21,-1,4,0,41.692,-83.438,21,GEN,OH,1,3
177,UP_4_22,-1,4,0,39.408,-84.563,22,GEN,OH,1,3
178,UP_4_23,-1,4,0,40.313,-80.606,23,GEN,OH,1,3
179,UP_4_24,-1,4,0,40.092,-82.015,24,GEN,OH,1,3
180,UP_4_25,-1,4,0,39.58,-81.656,25,GEN,OH,1,3
181,UP_4_26,-1,4,0,39.531,-81.717,26,GEN,OH,1,3
182,UP_4_27,-1,4,0,41.378,-83.165,27,GEN,OH,1,3
183,UP_4_28,-1,4,0,38.573,-82.783,28,GEN,OH,1,3
184,UP_4_29,-1,4,0,41.89,-80.765,29,GEN,OH,1,3
185,UP_4_30,-1,4,0,38.596,-82.839,30,GEN,OH,1,3
186,UP_5_1,-1,5,0,40.596,-89.663,1,GEN,IL,1,3
187,UP_5_2,-1,5,0,39.133,-87.659,2,GEN,IL,1,3
188,UP_5_3,-1,5,0,39.823,-90.567,3,GEN,IL,1,3
189,UP_5_4,-1,5,0,41.64,-88.079,4,GEN,IL,1,3
190,UP_5_5,-1,5,0,37.209,-88.859,5,GEN,IL,1,3
191,UP_5_6,-1,5,0,41.303,-89.315,6,GEN,IL,1,3
192,UP_5_7,-1,5,0,40.178,-87.748,7,GEN,IL,1,3
193,UP_5_8,-1,5,0,39.755,-89.602,8,GEN,IL,1,3
194,UP_5_9,-1,5,0,39.757,-89.75,9,GEN,IL,1,3
195,UP_5_10,-1,5,0,37.621,-88.955,10,GEN,IL,1,3
196,UP_5_11,-1,5,0,39.449,-90.614,11,GEN,IL,1,3
197,UP_5_12,-1,5,0,38.279,-89.667,12,GEN,IL,1,3
198,UP_5_13,-1,5,0,39.717,-90.237,13,GEN,IL,1,3
199,UP_5_14,-1,5,0,40.28,-90.08,14,GEN,IL,1,3
200,UP_5_15,-1,5,0,38.864,-90.135,15,GEN,IL,1,3
201,UP_5_16,-1,5,0,42.115,-87.731,16,GEN,IL,1,3
202,UP_5_17,-1,5,0,40.558,-89.667,17,GEN,IL,1,3
203,UP_5_18,-1,5,0,37.658,-89.512,18,GEN,IL,1,3
204,UP_5_19,-1,5,0,41.48,-88.258,19,GEN,IL,1,3
205,UP_5_20,-1,5,0,42.701,-90.287,20,GEN,IL,1,3
206,UP_5_21,-1,5,0,41.412,-88.333,21,GEN,IL,1,3
207,UP_5_22,-1,5,0,39.223,-88.758,22,GEN,IL,1,3
208,UP_5_23,-1,5,0,43.636,-83.836,23,GEN,MI,1,3
209,UP_5_24,-1,5,0,42.921,-86.205,24,GEN,MI,1,3
210,UP_5_25,-1,5,0,43.634,-83.836,25,GEN,MI,1,3
211,UP_5_26,-1,5,0,41.795,-83.446,26,GEN,MI,1,3
212,UP_5_27,-1,5,0,43.852,-82.644,27,GEN,MI,1,3
213,UP_5_28,-1,5,0,42.926,-82.461,28,GEN,MI,1,3
214,UP_5_29,-1,5,0,42.764,-82.472,29,GEN,MI,1,3
215,UP_5_30,-1,5,0,42.122,-83.181,30,GEN,MI,1,3
216,UP_5_31,-1,5,0,46.569,-87.39,31,GEN,MI,1,3
217,UP_5_32,-1,5,0,46.579,-87.395,32,GEN,MI,1,3
218,UP_5_33,-1,5,0,45.772,-87.066,33,GEN,MI,1,3
219,UP_5_34,-1,5,0,43.071,-86.235,34,GEN,MI,1,3
220,UP_5_35,-1,5,0,42.796,-86.113,35,GEN,MI,1,3
221,UP_5_36,-1,5,0,42.697,-84.662,36,GEN,MI,1,3
222,UP_5_37,-1,5,0,42.692,-84.657,37,GEN,MI,1,3
223,UP_5_38,-1,5,0,46.531,-87.392,38,GEN,MI,1,3
224,UP_5_39,-1,5,0,42.208,-83.145,39,GEN,MI,1,3
225,UP_5_40,-1,5,0,42.032,-84.755,40,GEN,MI,1,3
226,UP_5_41,-1,5,0,42.776,-82.495,41,GEN,MI,1,3
227,UP_5_42,-1,5,0,42.66,-83.298,42,GEN,MI,1,3
228,UP_5_43,-1,5,0,46.764,-89.567,43,GEN,MI,1,3
229,UP_5_44,-1,5,0,44.217,-86.291,44,GEN,MI,1,3
230,UP_5_45,-1,5,0,43.259,-86.242,45,GEN,MI,1,3
231,UP_5_46,-1,5,0,42.359,-82.96,46,GEN,MI,1,3
232,UP_5_47,-1,5,0,42.304,-83.09,47,GEN,MI,1,3
233,UP_5_48,-1,5,0,42.731,-85.855,48,GEN,MI,1,3
234,UP_5_49,-1,5,0,43.586,-84.224,49,GEN,MI,1,3
235,UP_5_50,-1,5,0,42.963,-85.494,50,GEN,MI,1,3
236,UP_5_51,-1,5,0,43.938,-86.425,51,GEN,MI,1,3
237,UP_5_52,-1,5,0,42.821,-85.998,52,GEN,MI,1,3
238,UP_5_53,-1,5,0,42.303,-83.154,53,GEN,MI,1,3
239,UP_5_54,-1,5,0,42.249,-84.377,54,GEN,MI,1,3
240,UP_5_55,-1,5,0,42.322,-86.294,55,GEN,MI,1,3
260,UP_5_56,-1,5,0,41.707,-87.522,56,GEN,IN,1,3
261,UP_5_57,-1,5,0,39.081,-84.859,57,GEN,IN,1,3
262,UP_5_58,-1,5,0,39.763,-86.167,58,GEN,IN,1,3
263,UP_5_59,-1,5,0,41.645,-87.123,59,GEN,IN,1,3
264,UP_5_60,-1,5,0,41.639,-87.407,60,GEN,IN,1,3
265,UP_5_61,-1,5,0,38.263,-85.838,61,GEN,IN,1,3
266,UP_5_62,-1,5,0,39.53,-87.424,62,GEN,IN,1,3
267,UP_5_63,-1,5,0,37.911,-87.328,63,GEN,IN,1,3
268,UP_5_64,-1,5,0,40.049,-86.899,64,GEN,IN,1,3
269,UP_5_65,-1,5,0,40.759,-86.358,65,GEN,IN,1,3
270,UP_5_66,-1,5,0,40.755,-86.058,66,GEN,IN,1,3
271,UP_5_67,-1,5,0,39.803,-84.895,67,GEN,IN,1,3
272,UP_5_68,-1,5,0,38.52,-87.266,68,GEN,IN,1,3
273,UP_5_69,-1,5,0,38.372,-87.766,69,GEN,IN,1,3
274,UP_5_70,-1,5,0,37.926,-87.037,70,GEN,IN,1,3
275,UP_5_71,-1,5,0,38.4,-86.914,71,GEN,IN,1,3
276,UP_5_72,-1,5,0,37.915,-87.333,72,GEN,IN,1,3
277,UP_5_73,-1,5,0,39.71,-86.187,73,GEN,IN,1,3
278,UP_5_74,-1,5,0,39.49,-86.414,74,GEN,IN,1,3
279,UP_5_75,-1,5,0,41.721,-86.909,75,GEN,IN,1,3
280,UP_5_76,-1,5,0,38.807,-87.247,76,GEN,IN,1,3
281,UP_5_77,-1,5,0,40.097,-85.971,77,GEN,IN,1,3
282,UP_5_78,-1,5,0,41.632,-87.173,78,GEN,IN,1,3
283,UP_5_79,-1,5,0,41.674,-87.478,79,GEN,IN,1,3
284,UP_5_80,-1,5,0,39.393,-87.511,80,GEN,IN,1,3
285,UP_5_81,-1,5,0,39.091,-84.867,81,GEN,IN,1,3
241,UP_6_1,-1,6,0,46.587,-90.902,1,GEN,WI,1,3
242,UP_6_2,-1,6,0,43.079,-89.374,2,GEN,WI,1,3
243,UP_6_3,-1,6,0,43.03,-87.923,3,GEN,WI,1,3
244,UP_6_4,-1,6,0,43.715,-87.706,4,GEN,WI,1,3
245,UP_6_5,-1,6,0,42.723,-91.009,5,GEN,WI,1,3
246,UP_6_6,-1,6,0,44.54,-88.009,6,GEN,WI,1,3
247,UP_6_7,-1,6,0,44.861,-89.655,7,GEN,WI,1,3
248,UP_6_8,-1,6,0,44.2,-88.458,8,GEN,WI,1,3
249,UP_6_9,-1,6,0,44.308,-91.911,9,GEN,WI,1,3
250,UP_6_10,-1,6,0,43.046,-88.028,10,GEN,WI,1,3
251,UP_6_11,-1,6,0,43.486,-89.42,11,GEN,WI,1,3
252,UP_6_12,-1,6,0,42.506,-89.515,12,GEN,WI,1,3
253,UP_6_13,-1,6,0,42.583,-89.577,13,GEN,WI,1,3
254,UP_6_14,-1,6,0,44.082,-87.656,14,GEN,WI,1,3
255,UP_6_15,-1,6,0,43.384,-87.869,15,GEN,WI,1,3
256,UP_6_16,-1,6,0,43.075,-89.425,16,GEN,WI,1,3
257,UP_6_17,-1,6,0,42.855,-88.73,17,GEN,WI,1,3
258,UP_6_18,-1,6,0,42.583,-89.034,18,GEN,WI,1,3
259,UP_6_19,-1,6,0,44.32,-88.209,19,GEN,WI,1,3
332,UP_7_1,-1,7,0,47.531,-92.162,1,GEN,MN,3,4
333,UP_7_2,-1,7,0,47.261,-93.653,2,GEN,MN,3,4
334,UP_7_3,-1,7,0,46.291,-96.043,3,GEN,MN,3,4
335,UP_7_4,-1,7,0,43.701,-92.963,4,GEN,MN,3,4
336,UP_7_5,-1,7,0,47.429,-92.935,5,GEN,MN,3,4
337,UP_7_6,-1,7,0,44.028,-92.46,6,GEN,MN,3,4
338,UP_7_7,-1,7,0,47.521,-92.534,7,GEN,MN,3,4
339,UP_7_8,-1,7,0,45.122,-95.052,8,GEN,MN,3,4
340,UP_7_9,-1,7,0,47.531,-90.911,9,GEN,MN,3,4
341,UP_7_10,-1,7,0,43.673,-94.708,10,GEN,MN,3,4
342,UP_7_11,-1,7,0,43.673,-94.707,11,GEN,MN,3,4
343,UP_7_12,-1,7,0,43.669,-92.968,12,GEN,MN,3,4
344,UP_7_13,-1,7,0,42.658,-94.461,13,GEN,MN,3,4
345,UP_7_14,-1,7,0,44.316,-94.458,14,GEN,MN,3,4
346,UP_7_15,-1,7,0,44.083,-93.23,15,GEN,MN,3,4
347,UP_7_16,-1,7,0,44.811,-93.25,16,GEN,MN,3,4
348,UP_7_17,-1,7,0,44.931,-93.112,17,GEN,MN,3,4
349,UP_7_18,-1,7,0,45.02,-93.275,18,GEN,MN,3,4
350,UP_7_19,-1,7,0,44.896,-94.885,19,GEN,MN,3,4
351,UP_7_20,-1,7,0,44.89,-94.351,20,GEN,MN,3,4
352,UP_7_21,-1,7,0,44.796,-92.912,21,GEN,MN,3,4
353,UP_7_22,-1,7,0,44.196,-94.01,22,GEN,MN,3,4
354,UP_7_23,-1,7,0,44.336,-93.291,23,GEN,MN,3,4
355,UP_7_24,-1,7,0,43.76,-94.751,24,GEN,MN,3,4
386,UP_7_25,-1,7,0,46.867,-100.883,25,GEN,ND,7,4
387,UP_7_26,-1,7,0,47.286,-101.332,26,GEN,ND,7,4
388,UP_7_27,-1,7,0,47.221,-101.816,27,GEN,ND,7,4
389,UP_7_28,-1,7,0,46.848,-98.449,28,GEN,ND,7,4
390,UP_7_29,-1,7,0,46.821,-101.756,29,GEN,ND,7,4
391,UP_7_30,-1,7,0,44.065,-103.302,30,GEN,SD,7,4
392,UP_7_31,-1,7,0,45.304,-96.51,31,GEN,SD,7,4
393,UP_7_32,-1,7,0,44.291,-96.527,32,GEN,SD,7,4
286,UP_8_1,-1,8,0,42.503,-90.659,1,GEN,IA,1,4
287,UP_8_2,-1,8,0,42.507,-90.656,2,GEN,IA,1,4
288,UP_8_3,-1,8,0,43.334,-91.17,3,GEN,IA,1,4
289,UP_8_4,-1,8,0,43.336,-91.168,4,GEN,IA,1,4
290,UP_8_5,-1,8,0,41.984,-91.669,5,GEN,IA,1,4
291,UP_8_6,-1,8,0,41.944,-91.639,6,GEN,IA,1,4
292,UP_8_7,-1,8,0,41.938,-91.638,7,GEN,IA,1,4
293,UP_8_8,-1,8,0,42.047,-92.859,8,GEN,IA,1,4
294,UP_8_9,-1,8,0,42.051,-92.846,9,GEN,IA,1,4
295,UP_8_10,-1,8,0,41.54,-90.448,10,GEN,IA,1,4
296,UP_8_11,-1,8,0,41.18,-95.841,11,GEN,IA,1,4
297,UP_8_12,-1,8,0,42.299,-96.363,12,GEN,IA,1,4
298,UP_8_13,-1,8,0,40.741,-91.117,13,GEN,IA,1,4
299,UP_8_14,-1,8,0,42.026,-93.609,14,GEN,IA,1,4
300,UP_8_15,-1,8,0,42.527,-92.439,15,GEN,IA,1,4
