KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N,ID
63,1003002,38.1804,-90.3366,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.898398651,2884.625215,1684401.4,1,1,1,1,1,0,0.05,0,0.95,0,0,0,0,0,2705.445615,61.19659604,59.52279448,242919.8399,6400.466021,3266.889141,102.4985579,2.812404631,0,1003002_1
64,1004270,29.545278,-98.421111,TX,South,"""West South Central""",7,2,18,0,0,0.758394512,19.30370003,4882,1,1,0,1,1,0.44,0.18,0.19,0,0.19,0,0,0,0,363.6265542,35.51952864,35.35219358,410217.1905,10808.42631,5516.774939,111.4196811,2.812404631,0,1004270_1
65,1004270,29.545278,-98.421111,TX,South,"""West South Central""",7,2,18,Dry,1,0.758394512,1767.959932,447125.7,1,1,1,1,1,0.44,0.18,0.19,0,0.19,0,0,0,0,363.6265542,35.51952864,35.35219358,410217.1905,10808.42631,5516.774939,111.4196811,2.812404631,0,1004270_2
66,1004539,44.0896,-103.271663,SD,Midwest,"""West North Central""",4,7,10,0,0,0.849182029,1291.960663,493097,1,1,1,1,1,0.05,0.95,0,0,0,0,0,0,0,286.8724622,24.36461419,24.34624649,372898.366,9825.14776,5014.895544,102.4985579,2.812404631,0,1004539_1
67,1004539,44.0896,-103.271663,SD,Midwest,"""West North Central""",4,7,10,0,0,0.849182029,34.28113082,12659,1,1,0,1,0,0.05,0.95,0,0,0,0,0,0,0,286.8724622,24.36461419,24.34624649,372898.366,9825.14776,5014.895544,102.4985579,2.812404631,0,1004539_2
68,1004539,44.0896,-103.271663,SD,Midwest,"""West North Central""",4,7,10,Dry,1,0.849182029,391.8063364,131535,1,1,0,1,0,0.05,0.95,0,0,0,0,0,0,0,286.8724622,24.36461419,24.34624649,372898.366,9825.14776,5014.895544,102.4985579,2.812404631,0,1004539_3
69,1004721,36.022505,-83.834408,TN,South,"""East South Central""",6,1,16,Dry,1,0.80045847,2067.870062,472904,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,677.4347342,75.52849029,75.80463698,407955.6382,10748.8388,5486.360624,102.4985579,2.812404631,0,1004721_1
70,1002530,39.563527,-112.197061,UT,West,"""Mountain""",8,5,20,Wet,4,0.731687812,2188.057326,622084,1,1,1,1,1,0.34,0.49,0.17,0,0,0,0,0,0,819.476321,77.44728972,77.98450167,392349.5977,10337.64995,5276.483965,111.419681,2.812404632,0,1002530_1
71,1003303,28.582265,-82.430829,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.777928306,1659.991915,655173.6,1,1,1,1,1,0.47,0,0.03,0,0,0.5,0,0,0,536.1408758,38.67468483,38.53870559,332873.9948,8770.583308,4476.630807,102.498558,2.812404632,0,1003303_1
72,1003303,28.582265,-82.430829,FL,South,"""South Atlantic""",5,2,15,Dry,3,0.777928306,980.1246321,323362.8,1,1,1,1,1,0.47,0,0.03,0,0,0.5,0,0,0,628.8569671,32.97264796,32.85671695,332873.9946,8770.583305,4476.630804,102.4985579,2.81240463,0,1003303_2
73,1005629,45.316951,-85.299349,MI,Midwest,"""East North Central""",3,1,5,Dry,1,0.74037857,3027.010624,1191830.3,1,1,1,1,1,0.03,0,0,0.92,0,0.03,0,0,0.03,2077.218722,65.79072745,64.74198762,268108.1412,7064.128845,3605.63211,102.4985579,2.812404632,0,1005629_1
74,1002517,38.415722,-85.749361,IN,Midwest,"""East North Central""",3,1,6,0,0,0.721666667,1520.004352,74060.1,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,227.3405355,16.13640749,16.39680668,437105.9617,11516.89321,5878.386548,102.498558,2.812404632,0,1002517_1
75,1002517,38.415722,-85.749361,IN,Midwest,"""East North Central""",3,1,6,Dry,1,0.721666667,1740.249644,369721.3,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,109.09417,33.62654044,34.16918438,437105.9616,11516.89321,5878.38655,102.4985579,2.812404631,0,1002517_2
76,1002517,38.415722,-85.749361,IN,Midwest,"""East North Central""",3,1,6,Dry,1,0.721666667,0,0,0,1,0,1,0,0.5,0,0,0,0,0.5,0,0,0,227.3405355,33.62654044,34.16918438,437105.9616,11516.89321,5878.38655,102.4985579,2.812404631,0,1002517_3
77,1003643,34.779716,-112.083801,AZ,West,"""Mountain""",8,5,21,0,0,0.865232723,2098.040361,578669,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,556.4374179,34.06224426,33.69663609,350066.4465,9223.571021,4707.842197,111.419681,2.812404632,0,1003643_1
78,1003643,34.779716,-112.083801,AZ,West,"""Mountain""",8,5,21,Dry,1,0.865232723,169.6121422,45379,1,1,0,1,1,0.93,0.03,0,0,0.03,0,0,0,0,556.4374179,34.06224426,33.69663609,350066.4465,9223.571021,4707.842197,111.419681,2.812404632,0,1003643_2
79,1005352,43.1788,-93.2118,IA,Midwest,"""West North Central""",4,3,7,Dry,1,0.90913204,1804.494202,425718.5,1,1,1,1,1,0.06,0.88,0,0,0,0,0,0.05,0,609.8854845,77.67291924,78.24082957,424378.3103,11181.54432,5707.219691,102.4985579,2.812404631,0,1005352_1
80,1004758,25.786463,-80.421113,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.724809005,1935.40622,709711.5,1,1,1,1,1,0.02,0,0.02,0.92,0,0.02,0,0,0.02,970.9021869,74.42696545,74.55324246,356408.4222,9390.669765,4793.131778,102.4985579,2.812404631,0,1004758_1
81,1002531,46.54448,-111.92062,MT,West,"""Mountain""",8,7,19,Wet,4,0.819261186,3193.538718,299291.6,1,1,1,1,1,0.03,0.03,0,0.93,0,0,0,0,0,458.5330794,89.86976839,92.09714007,472431.5813,12447.65469,6353.46048,102.4985579,2.812404632,0,1002531_1
82,1004078,39.6524,-77.6805,MD,South,"""South Atlantic""",5,1,13,Dry,1,0.908427287,2444.44695,417740,1,1,1,1,1,0.47,0,0.5,0,0,0.03,0,0,0,686.0630401,87.71244477,89.64629841,406020.8261,10697.86026,5460.340449,102.4985579,2.812404631,0,1004078_1
83,1007208,29.610784,-98.373309,TX,South,"""West South Central""",7,2,18,Dry,1,0.714642761,2497.731218,815122.5,1,1,1,1,1,0.03,0.03,0,0.93,0,0,0,0,0,1129.284643,63.70999279,62.37815535,348163.9058,9173.442765,4682.256021,111.419681,2.812404631,0,1007208_1
84,1006450,40.75037,-75.27114,PA,Northeast,"""Middle Atlantic""",2,1,3,Dry,3,0.747462176,1400.006602,579634.8,1,1,1,1,1,0,0,0.23,0,0.22,0.08,0.3,0,0.16,880.7001525,82.55429241,83.78634558,369684.9975,9740.481741,4971.6808,102.4985579,2.812404631,0,1006450_1
85,1006185,45.944769,-111.477076,MT,West,"""Mountain""",8,7,19,Wet,4,0.820063821,3134.02996,276589,1,1,1,1,1,0.03,0.03,0,0.93,0,0,0,0,0,361.087656,95.12168621,98.06361578,516898.2048,13619.26386,6951.466513,102.4985579,2.812404631,0,1006185_1
86,1007563,38.109942,-90.257947,MO,Midwest,"""West North Central""",4,3,9,0,0,0.749757646,226.7996243,369585,1,1,0,1,0,0.47,0,0,0.03,0,0,0,0,0.5,2229.922462,28.16025681,26.99164453,201635.3171,5312.699022,2711.67735,102.4985579,2.812404631,0,1007563_1
87,1007563,38.109942,-90.257947,MO,Midwest,"""West North Central""",4,3,9,Dry,1,0.749757646,1534.150744,2503458,1,1,1,1,1,0.47,0,0,0.03,0,0,0,0,0.5,2229.922462,28.16025681,26.99164453,201635.3171,5312.699022,2711.67735,102.4985579,2.812404631,0,1007563_2
88,1006785,40.7948,-79.70017,PA,Northeast,"""Middle Atlantic""",2,1,3,Wet,4,0.761153027,3213.505944,191472.1,1,1,1,1,1,0.93,0,0,0,0,0.03,0,0,0.03,264.4511305,107.5475309,112.1800782,581296.2542,15316.0274,7817.518824,102.498558,2.812404632,0,1006785_1
89,1007052,25.8739,-80.3756,FL,South,"""South Atlantic""",5,2,15,Dry,3,0.75361492,2206.229308,1461537.7,1,1,1,1,1,0.45,0,0.5,0,0,0.03,0,0,0.03,1835.34871,65.4973813,64.4087298,280803.9535,7398.638842,3776.370784,102.4985579,2.812404631,0,1007052_1
90,1007552,41.005565,-96.154917,NE,Midwest,"""West North Central""",4,3,9,Dry,1,0.758296363,2064.099164,225050,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,293.3261826,27.16943196,27.25256608,393735.6584,10374.16995,5295.124298,111.419681,2.812404631,0,1007552_1
91,1007552,41.005565,-96.154917,NE,Midwest,"""West North Central""",4,3,9,Dry,1,0.758296363,1989.752524,370318,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,518.4369739,48.02039138,48.1673261,393735.6584,10374.16995,5295.124298,111.419681,2.812404631,0,1007552_2
92,1006077,41.45906,-90.695252,IA,Midwest,"""West North Central""",4,3,7,Dry,1,0.799802894,2398.901568,784662,1,1,1,1,1,0.92,0,0,0,0.03,0.03,0,0,0.03,1185.964535,66.60355504,65.66540573,330656.88,8712.166642,4446.814105,102.498558,2.812404632,0,1006077_1
93,1007663,29.675,-98.182778,TX,South,"""West South Central""",7,2,18,Dry,1,0.773716625,1781.910822,629547.7,1,1,1,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,938.975937,25.69290528,24.57053807,279801.5154,7372.226546,3762.889571,111.419681,2.81240463,0,1007663_1
94,1007663,29.675,-98.182778,TX,South,"""West South Central""",7,2,18,Dry,1,0.773716625,2528.189964,971430.8,1,1,1,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,1094.295265,29.94285953,28.6348376,279801.5154,7372.226548,3762.889572,111.419681,2.81240463,0,1007663_2
95,1005742,40.472471,-75.895245,PA,Northeast,"""Middle Atlantic""",2,1,3,0,0,0.721666667,1337.201389,198039,1,1,1,1,0,0,0,0,0,0,0,0,0,0,307.4589534,44.42976185,45.47472248,423069.7526,11147.06636,5689.62165,102.4985579,2.812404631,0,1005742_1
96,1005742,40.472471,-75.895245,PA,Northeast,"""Middle Atlantic""",2,1,3,0,0,0.721666667,1429.861407,285986,1,1,1,1,0,0,0,0,0,0,0,0,0,0,307.4589534,44.42976185,45.47472248,423069.7526,11147.06636,5689.62165,102.4985579,2.812404631,0,1005742_2
97,1006234,33.5401,-86.5435,AL,South,"""East South Central""",6,2,17,Dry,1,0.724360984,2211.938811,538163,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,745.4333267,72.25220716,72.08259403,393561.0584,10369.56958,5292.776203,102.498558,2.812404631,0,1006234_1
98,1006112,37.2676,-89.5385,MO,Midwest,"""West North Central""",4,3,9,Dry,3,0.797733969,1434.476241,765993.4,1,1,1,1,1,0.03,0,0,0,0,0.5,0,0.03,0.45,1246.093641,70.84228484,70.48084253,324587.3807,8552.247118,4365.188901,102.4985579,2.81240463,0,1006112_1
99,1007621,29.79992,-98.03647,TX,South,"""West South Central""",7,2,18,Dry,1,0.758492686,1902.485569,809778,1,1,1,1,1,0.02,0.92,0.02,0,0.02,0,0,0,0.02,766.5296913,33.7411536,32.35340594,286593.2731,7551.17617,3854.228012,111.419681,2.812404631,0,1007621_1
100,1007621,29.79992,-98.03647,TX,South,"""West South Central""",7,2,18,Dry,1,0.758492686,1237.335104,342179,1,1,1,1,1,0.02,0.92,0.02,0,0.02,0,0,0,0.02,1139.52709,22.69678035,21.76327925,286593.2731,7551.176174,3854.228013,111.419681,2.812404631,0,1007621_2
101,1005978,41.26109,-105.60319,WY,West,"""Mountain""",8,5,19,Dry,1,0.827709563,2207.357511,148335.5,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,228.8582659,23.58708831,23.62686753,398291.5582,10494.20906,5356.393971,102.4985579,2.812404631,0,1005978_1
102,1005978,41.26109,-105.60319,WY,West,"""Mountain""",8,5,19,Dry,2,0.827709563,2362.965365,367170.4,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,493.2290212,50.83424204,50.91997314,398291.5582,10494.20906,5356.393973,102.498558,2.812404631,0,1005978_2
103,1007606,33.6936,-94.4166,AR,South,"""West South Central""",7,3,18,Dry,3,0.787653717,1995.75257,912944,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,1228.865709,71.7411416,71.50199466,326284.4214,8596.960846,4388.011425,102.498558,2.812404632,0,1007606_1
104,1006212,39.7779,-83.9661,OH,Midwest,"""East North Central""",3,1,4,0,0,0.774125512,148.3299443,33043,1,1,0,1,1,0.93,0.03,0,0,0.03,0,0,0,0,387.8995013,40.04932963,40.49830371,387705.5375,10215.28798,5214.028672,102.498558,2.812404632,0,1006212_1
105,1006212,39.7779,-83.9661,OH,Midwest,"""East North Central""",3,1,4,Dry,2,0.774125512,2093.623542,466390,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,387.8995013,40.04932963,40.49830371,387705.5375,10215.28798,5214.028672,102.498558,2.812404632,0,1006212_2
106,1007216,36.1941,-95.8117,OK,South,"""West South Central""",7,3,18,Dry,1,0.751584915,2182.864346,218774,1,1,1,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,319.6649272,37.48358435,37.43544564,425625.7894,11214.41297,5723.996321,111.4196811,2.812404632,0,1007216_1
107,1007216,36.1941,-95.8117,OK,South,"""West South Central""",7,3,18,Dry,1,0.751584915,2309.830951,215458,1,1,1,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,339.1699058,35.32797886,35.28260851,425625.7894,11214.41297,5723.996318,111.4196811,2.812404632,0,1007216_2
108,1006642,34.819863,-118.748732,CA,West,"""Pacific""",9,6,23,Dry,1,0.719027611,2127.53395,806771,1,1,1,1,1,0,0.03,0.03,0.45,0,0,0,0.5,0,1200.161524,83.59970563,84.97399414,340363.8771,8967.927167,4577.357924,111.4196811,2.812404632,0,1006642_1
109,1006659,33.1043,-86.7985,AL,South,"""East South Central""",6,2,17,0,0,0.878069234,52.26469151,26228.5,1,1,0,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,666.7165753,31.57272009,30.86839583,316456.4288,8338.012328,4255.840409,102.4985579,2.812404631,0,1006659_1
110,1006659,33.1043,-86.7985,AL,South,"""East South Central""",6,2,17,Dry,1,0.878069234,1845.851202,952772.1,1,1,1,1,1,0.92,0.03,0,0,0.03,0,0,0,0.03,666.7165753,31.57272009,30.86839583,316456.4288,8338.012328,4255.840409,102.4985579,2.812404631,0,1006659_2
111,1006669,32.4097,-111.1513,AZ,West,"""Mountain""",8,5,21,Dry,1,0.775149623,1188.943733,890860.3,1,1,1,1,1,0.01,0.91,0.01,0.01,0,0,0.01,0.01,0.01,1143.480381,67.70898967,66.921242,346548.5258,9130.880643,4660.531705,111.419681,2.812404632,0,1006669_1
112,1006363,31.745833,-102.546661,TX,South,"""West South Central""",7,4,18,Dry,2,0.807741384,2416.33792,170862.4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,144.7722507,52.21493527,53.75100161,602715.0905,15880.37214,8105.568426,111.419681,2.812404632,0,1006363_1
113,1006363,31.745833,-102.546661,TX,South,"""West South Central""",7,4,18,Dry,1,0.807741384,2892.924819,178790.6,1,1,1,1,1,0,1,0,0,0,0,0,0,0,115.2298631,41.55989709,42.78251201,602715.0906,15880.37214,8105.568428,111.4196811,2.812404632,0,1006363_2
114,1006136,40.734521,-86.433441,IN,Midwest,"""East North Central""",3,1,6,0,0,0.783231654,571.3456557,58811,1,1,0,1,1,0.93,0,0,0,0,0.03,0,0,0.03,274.0278837,41.97065611,42.68103927,441778.1108,11639.99527,5941.219594,102.4985579,2.812404632,0,1006136_1
115,1006136,40.734521,-86.433441,IN,Midwest,"""East North Central""",3,1,6,Wet,4,0.783231654,2234.547896,248690,1,1,1,1,1,0.93,0,0,0,0,0.03,0,0,0.03,274.0278837,41.97065611,42.68103927,441778.1108,11639.99527,5941.219594,102.4985579,2.812404632,0,1006136_2
116,1006738,41.329483,-89.081612,IL,Midwest,"""""East North Central""""",3,1,5,Dry,3,0.617,1987.909685,650727.5,1,1,1,1,1,0.93,0,0,0,0,0.03,0,0,0.03,618.1390529,135.7390308,138.440614,178743.5706,9557.192515,13965.52474,137.0324419,3.68176563,0,1006738_1
117,1003891,38.739074,-86.45703,IN,Midwest,"""East North Central""",3,1,6,Dry,2,0.721666667,1987.909685,421466,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,164.3802169,53.216931,54.27337816,459673.5453,12111.50521,6181.884996,102.4985579,2.812404632,0,1003891_1
118,1003891,38.739074,-86.45703,IN,Midwest,"""East North Central""",3,1,6,Dry,2,0.721666667,1791.287626,107140.5745,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,164.3802169,16.41899844,16.74494366,459673.5452,12111.50521,6181.884994,102.4985579,2.812404631,0,1003891_2
119,1003891,38.739074,-86.45703,IN,Midwest,"""East North Central""",3,1,6,Dry,2,0.721666667,1636.898055,97906.21867,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,164.3802169,16.41899844,16.74494366,459673.5452,12111.50521,6181.884994,102.4985579,2.812404631,0,1003891_3
120,1004289,36.271838,-95.222539,OK,South,"""West South Central""",7,3,18,0,0,0.721666667,2045.449351,122342.5068,1,1,1,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,86.41700478,38.47377503,39.39020275,563511.733,14847.4398,7578.345029,111.419681,2.812404631,0,1004289_1
121,1004289,36.271838,-95.222539,OK,South,"""West South Central""",7,3,18,Dry,1,0.721666667,229.2388061,7020.942865,1,1,0,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,86.41700478,25.3116941,25.91460707,563511.733,14847.4398,7578.34503,111.419681,2.812404632,0,1004289_2
122,1004289,36.271838,-95.222539,OK,South,"""West South Central""",7,3,18,Dry,1,0.721666667,1808.380528,55385.63293,1,1,1,1,1,0.03,0.03,0.03,0.92,0,0,0,0,0,138.2672076,25.3116941,25.91460707,563511.733,14847.4398,7578.34503,111.419681,2.812404632,0,1004289_3
123,1006110,32.25,-100.458333,TX,South,"""West South Central""",7,4,18,Wet,4,0.721666667,1739.534689,85243.3242,1,1,1,1,1,0,0.05,0,0.95,0,0,0,0,0,657.7983924,72.8885084,72.80546823,425876.0125,11221.00586,5727.361427,111.419681,2.812404631,0,1006110_1
124,1004174,39.62,-119.2628,NV,West,"""Mountain""",8,5,20,Dry,1,0.721666667,3686.917301,457863.9,1,1,1,1,1,0.94,0.06,0,0,0,0,0,0,0,126.3468243,69.32112115,72.13859231,609194.259,16051.08564,8192.703034,111.419681,2.812404632,0,1004174_1
125,1004174,39.62,-119.2628,NV,West,"""Mountain""",8,5,20,Dry,1,0.721666667,1794.50451,85026.26099,1,1,1,1,1,0.94,0.06,0,0,0,0,0,0,0,126.3468243,35.48662019,36.92892994,609194.2591,16051.08564,8192.703035,111.4196811,2.812404631,0,1004174_2
126,1000247,35.101197,-85.345342,TN,South,"""East South Central""",6,1,16,Dry,3,0.721666667,1873.123389,88751.33901,1,1,1,1,1,0.02,0,0.02,0.92,0,0.02,0,0,0.02,594.398542,77.95504769,78.56134344,428500.6692,11290.16047,5762.658924,102.4985579,2.812404631,0,1000247_1
127,1007985,33.733584,-86.155217,AL,South,"""East South Central""",6,2,17,Dry,1,0.721666667,2001.277961,435846.1,1,1,1,1,1,0.02,0.02,0.44,0,0,0,0.5,0,0.02,1251.947924,64.03853778,62.75140105,324018.0542,8537.246473,4357.532357,102.498558,2.812404633,0,1007985_1
